place_id,name,address,lat,lng,type
ChIJU6P8xgsydTERH76HuJW_-Gg,Chợ Đầu mối Bình Điền,"Đại lộ Nguyễn Văn Linh, Khu Phố 6, Quận 8, Thành phố Hồ Chí Minh, Vietnam",10.7022739,106.6086365,chợ
ChIJTQW7uYoudTEREQoQkLAqBzY,Binh Tay Market,"57A Tháp Mười, Phường 2, Quận 6, Thành phố Hồ Chí Minh 700900, Vietnam",10.7493647,106.651058,chợ
ChIJz2HC9hMvdTERx_6XkSQPwXo,"Russian Market, Ho Chi Minh","125 Hai Bà Trưng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",10.7804736,106.7001639,chợ
ChIJddvCXQAvdTER81sNPxk1dm0,Chợ Kim Biên,"41 Đ. Kim Biên, Phường 13, Quận 5, Thành phố Hồ Chí Minh, Vietnam",10.7504622,106.6559291,chợ
ChIJvSXF5LwudTER9GMLmZGNnvI,Phú Bình Market,"QJFV+F6G, Bình Phú, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.773694,106.6430748,chợ
ChIJPze3_lApdTEROr6Tmp6cgnc,Vo Thanh Trang Market,"15 Đ. Trường Chinh, Phường Tân Bình, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.8011701,106.6377552,chợ
ChIJvxShM80odTER8eFLlfwiq48,Tân Định Market,"336 Hai Bà Trưng, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Vietnam",10.7896798,106.6898642,chợ
ChIJNbFrArYudTERGDWm6bnB-uM,Tan Binh Market,"172 Đ. Lý Thường Kiệt, Phường 8, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",10.7861046,106.653277,chợ
ChIJFZR0CsYvdTERwWwTleevJUQ,Chợ đồ cũ Nhật Tảo 2,"107 Tân Phước, Phường 7, Quận 11, Thành phố Hồ Chí Minh, Vietnam",10.7609416,106.6601547,chợ
ChIJIZ2xB_4udTERW9i30s0gHIM,Hoa Binh Market,"37 Đ. Bạch Vân, Phường 5, Quận 5, Thành phố Hồ Chí Minh, Vietnam",10.752037,106.6756457,chợ
ChIJe-OwZzIpdTEReppVqTMkRMU,Pham Van Hai Market,"Đường Phạm Văn Hai, Phường 1, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",10.7947009,106.6628507,chợ
ChIJpx56VnYmdTER6jVoKzOUmXs,Bình Trưng Market,"Nguyễn Duy Trinh, Phường Bình Trưng Tây, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam",10.7887391,106.7556416,chợ
ChIJ_5YuXPkndTERE8cDps_LAhs,Thu Duc Agricultural Product Market,"141 QL1A, Tam Binh, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",10.8687415,106.7287072,chợ
ChIJI8EDiSMvdTER0cS-nymckiA,Vuon Chuoi Market,"428 Nguyễn Đình Chiểu, Phường 4, Quận 3, Thành phố Hồ Chí Minh, Vietnam",10.7729598,106.684595,chợ
ChIJAw7G4UozdTERL5M2GM-PoR0,Binh Chanh Market,"QL1A, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam",10.6658887,106.5715899,chợ
ChIJo8fofeIldTER7NY9Vk4qj18,Binh Khanh Market,"Bình Khánh, District 2, Ho Chi Minh City, Vietnam",10.7866123,106.7383018,chợ
ChIJbYjs1ugudTERy0fSrRLoMfo,Nguyen Tri Phuong Market,"68 Nguyễn Lâm, Phường 6, Quận 10, Thành phố Hồ Chí Minh, Vietnam",10.7644076,106.6634127,chợ
ChIJL4NdJkEvdTERXv7wKekjRAY,Ton That Dam Old Market,"Tôn Thất Đạm, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",10.771554,106.7031813,chợ
ChIJL_uZTUkpdTERnbn5K4_6W6U,Hoang Hoa Tham Market,"19 Hoàng Hoa Thám, Phường Tân Bình, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.7983726,106.6469672,chợ
ChIJd_Wo8hcvdTERXV5f7ac_lUg,Thái Bình Market,"Đ. Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Vietnam",10.7667093,106.6886329,chợ
ChIJTeYpMT8vdTERMH8sUnkta40,Ben Thanh Market,"Ben Thanh, District 1, Ho Chi Minh City, Vietnam",10.7725168,106.6980208,chợ
ChIJvSRhFh4vdTER9Xb_0ca6p4g,Ho Thi Ky Flower Market,"Hẻm 52 Hồ Thị Kỷ, Phường 1, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",10.7653897,106.6770051,chợ
ChIJ67rj5EEqdTERqNn1c--PvV8,Hoc Mon Agricultural Products Wholesale Market,"14/7A Nguyễn Thị Sóc, Xuân Thới Đông, Hóc Môn, Thành phố Hồ Chí Minh 700000, Vietnam",10.8601448,106.6014132,chợ
ChIJvcyZPY_VdDER_oeDI55DEl4,Hóc Môn Market,"Lý Nam Đế, Khu Phố 6, Hóc Môn, Thành phố Hồ Chí Minh 700000, Vietnam",10.8889045,106.5966826,chợ
ChIJSWsyJ9cudTERNx5W6BpOKKk,Chi Hoa Market,"24 Tô Hiến Thành, Phường 15, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",10.7825527,106.6712746,chợ
ChIJeeKDbBwmdTERWr6sYSaR-ow,Thảo Điền Market,"Nguyễn Văn Hưởng, Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",10.8023072,106.7280976,chợ
ChIJd2SCke0udTERoPXNug5c-M0,Thiếc Market,"129 Phó Cơ Điều, Phường 7, Quận 11, Thành phố Hồ Chí Minh, Vietnam",10.7596209,106.6567307,chợ
ChIJx1WgsLModTERA44LLDk2NM4,Thi Nghe Market,"36R Công Trường Hòa Bình, Phường 19, Bình Thạnh, Thành phố Hồ Chí Minh 700000, Vietnam",10.79199,106.7075202,chợ
ChIJXW-pS6QvdTERVZ3Pjc6ONmM,Xom Chieu Market,"Đinh Lễ, Phường 12, Quận 4, Thành phố Hồ Chí Minh, Vietnam",10.7635635,106.7060311,chợ
ChIJZU-P9fMudTER0xofbKLxpKM,Chợ Phùng Hưng,"214 Đ. Phùng Hưng, Phường 14, Quận 5, Thành phố Hồ Chí Minh, Vietnam",10.7531833,106.6574664,chợ
